objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Through the Desert","503","10","7","0","1","0","0","0","0","0","0","0","3","","","","","","133375884","6.9505","7.16884","2.1657","552","19653","thing","Through the Desert","2","5","45","45","45","2024","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Allplay","English","2024","English edition 2024"
"Through the Desert: Bazaar","399973","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133375864","5.55848","7.14412","2.4","0","1421","thing","Through the Desert: Bazaar","2","5","45","45","45","2024","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Thud","4532","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119531598","5.62617","6.25923","2.5854","7971","1434","thing","Thud","2","2","60","60","60","2002","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride","9209","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717143","7.2649","7.38732","1.8214","250","143195","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: First Journey (U.S.)","205125","7","0","0","0","0","0","0","0","1","0","0","3","","","","","","133692822","6.18672","6.8532","1.4167","2241","8315","thing","Ticket to Ride: First Journey (U.S.)","2","4","30","30","15","2016","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: Rails & Sails","202670","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","120532585","6.76334","7.4338","2.4712","792","12720","thing","Ticket to Ride: Rails & Sails","2","5","120","120","60","2016","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: The Card Game","34127","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717149","5.87783","6.11922","1.8787","3918","6794","thing","Ticket to Ride: The Card Game","2","4","30","30","30","2008","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ticket to Ride: USA 1910","24439","8","0","0","1","1","0","0","0","0","0","0","3","","","","","","128754333","7.53926","7.99458","1.8901","0","28109","thing","Ticket to Ride: USA 1910","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Tidal Blades 2: Rise of the Unfolders","233261","8","9","0","0","0","0","0","0","0","0","0","3","","","","","","131364565","6.14216","8.67328","2.9722","2407","2546","thing","Tidal Blades 2: Rise of the Unfolders","1","4","120","120","60","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Tinderblox","295192","5","13","0","1","0","0","0","0","0","0","0","3","","","","","","130256515","6.13387","6.77002","1","2448","8212","thing","Tinderblox","2","6","15","15","3","2020","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Tofu Shifu","429661","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135915390","5.58231","7.56759","2.75","10100","221","thing","Tofu Shifu","2","4","90","90","45","2024","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Tokaido","123540","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998960","6.74466","6.91309","1.7441","823","42930","thing","Tokaido","1","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Tome: The Light Edition","331463","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717274","5.51351","6.81983","2","20688","258","thing","Tome: The Light Edition","2","4","45","45","20","2022","2,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Toy Battle","434654","10","56","0","1","0","0","0","0","0","0","0","3","","","","","","135346454","6.635","7.69059","1.4651","1013","4037","thing","Toy Battle","2","2","15","15","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"TransAmerica","2842","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","131018569","6.41515","6.69071","1.3467","1511","8577","thing","TransAmerica","2","6","30","30","30","2001","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Trekking the National Parks","154428","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720020","5.97469","6.89817","1.6458","3250","3354","thing","Trekking the National Parks","2","6","60","60","30","2014","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Trekking the World","300442","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720022","6.39972","7.05182","1.9195","1548","6344","thing","Trekking the World","2","5","60","60","30","2020","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Trekking Through History","353288","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","132160101","6.96417","7.53922","1.75","532","12155","thing","Trekking Through History","1","4","60","60","30","2022","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Tri-Ominos","4040","4","1","0","0","0","0","0","0","0","0","0","3","","","","","","132634852","5.4248","5.43383","1.3702","29066","9032","thing","Tri-Ominos","2","4","30","30","30","1965","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Twice as Clever!","269210","6","1","0","1","1","0","0","0","0","0","0","3","","","","","","109717154","7.04176","7.42379","2.2772","443","18727","thing","Twice as Clever!","1","4","30","30","30","2019","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Twinkle Twinkle","408280","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","128729784","5.78357","7.07157","1.8571","4862","1128","thing","Twinkle Twinkle","1","4","30","30","20","2025","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Twinkle Twinkle: Extraterrestrials Mini-expansion","438420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129712712","0","7.82143","2","0","529","thing","Twinkle Twinkle: Extraterrestrials Mini-expansion","1","4","20","20","10","2025","1,2,3,4","2,4","10","","","","","","","expansion","","","","",""
"Twinkle Twinkle: How I Wonder Expansion","438392","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","129712628","0","7.86957","2","0","594","thing","Twinkle Twinkle: How I Wonder Expansion","1","4","30","30","15","2025","1,2,3,4","2,4","10","","","","","","","expansion","","","","",""
"Two Rooms and a Boom","134352","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720507","6.54781","6.98654","1.4805","1176","10246","thing","Two Rooms and a Boom","6","30","20","20","7","2013","8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","14,16,18,20,22","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Two Rooms and a Boom: Necroboomicon Expansion Pack","219444","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720509","5.58065","7.01618","2","0","1342","thing","Two Rooms and a Boom: Necroboomicon Expansion Pack","6","30","15","15","15","2017","6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","12","8+","","","","","","","expansion","","","","",""
"ULTIA","341222","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717356","5.50497","5.79595","1.5","23377","139","thing","ULTIA","3","3","30","30","30","2021","3","3","","","","","","","","standalone","","","","",""
"Ultimate Werewolf: Inquisition","140457","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007301","5.77611","6.50956","1.6818","4951","1962","thing","Ultimate Werewolf: Inquisition","3","12","60","60","30","2013","3,4,5,6,7,8,9,10,11","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Unearth","217085","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","130216308","6.36982","6.81519","1.9322","1621","10363","thing","Unearth","2","4","60","60","30","2017","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Unlock!: Mystery Adventures","228867","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720012","6.6547","7.31738","2.0851","972","8249","thing","Unlock!: Mystery Adventures","1","6","75","75","45","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"UNO Attack!","2818","4","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482228","5.45093","5.50537","1.2105","28814","4243","thing","UNO Attack!","2","10","30","30","30","1999","3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Unstable Unicorns","234190","2","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720458","5.946","6.23345","1.4925","3433","31851","thing","Unstable Unicorns","2","8","60","60","30","2017","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Vantage","420033","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135939592","7.1924","8.45887","2.3352","305","8450","thing","Vantage","1","6","180","180","120","2025","1,2,3","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Vegas Showdown","15364","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","131364564","6.70539","7.14364","2.3603","888","7894","thing","Vegas Showdown","3","5","75","75","75","2005","3,4,5","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Vegas Strip","428638","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","128777022","5.6236","6.67235","2.1667","8071","1185","thing","Vegas Strip","2","6","40","40","40","2025","3,4,6","4,6","10+","","","","","","","standalone","","","","",""
"Vegas Strip: High Stakes Expansion","431707","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128777024","0","7.03333","0","0","514","thing","Vegas Strip: High Stakes Expansion","2","5","40","40","40","2025","","","","","","","","","","expansion","","","","",""
"Villagers","241724","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720035","6.71092","7.11451","2.2179","873","15601","thing","Villagers","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Villagers: Kickstarter Expansion Pack","266990","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128754350","5.82546","7.58754","2.25","0","3603","thing","Villagers: Kickstarter Expansion Pack","1","5","60","60","30","2019","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Villagers: Shifting Seasons","333503","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128754343","5.74567","7.83018","2","0","3097","thing","Villagers: Shifting Seasons","1","5","0","0","0","2022","1,2,3,4","4","8+","","","","","","","expansion","","","","",""
"Wabash Cannonball","31730","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995732","6.87845","7.25198","2.7767","639","9201","thing","Wabash Cannonball","2","6","60","60","30","2007","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Waddle","435360","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","128729773","5.64037","7.01825","1.5","7538","868","thing","Waddle","2","5","25","25","15","2025","2,3,4,5","4","8+","","","","","","","standalone","","","","",""
"Waddle: Orcas & Ice Floes","438426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129712741","0","7.44444","0","0","394","thing","Waddle: Orcas & Ice Floes","2","5","25","25","15","2025","","","","","","","","","","expansion","","","","",""
"Welcome to the Dungeon","150312","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717137","6.37673","6.5297","1.233","1604","27075","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Where in the World is Carmen Sandiego? Card Game","232944","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","133681401","5.47185","5.37725","1.6667","28218","1387","thing","Where in the World is Carmen Sandiego? Card Game","2","4","50","50","25","2017","2,4","4","10","","","","","","","standalone","","","","",""
"Whirling Witchcraft","335275","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995813","6.25708","7.18072","1.8302","1955","3652","thing","Whirling Witchcraft","2","5","30","30","15","2021","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Wild Wild Taco","421631","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","128512459","5.50748","6.01406","0","22608","220","thing","Wild Wild Taco","2","8","15","15","10","2024","","","","","","","","","","standalone","","","","",""
"Wildcraft!","33569","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134233202","5.48593","5.48966","1.1111","27156","552","thing","Wildcraft!","1","4","60","60","45","2006","2,3","2","4+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Wilmot's Warehouse","424975","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","122998978","6.15448","7.55294","1.1579","2354","2110","thing","Wilmot's Warehouse","2","6","30","30","30","2024","2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Wine Cellar","411033","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007303","5.84069","7.1885","1.75","4255","1496","thing","Wine Cellar","1","8","20","20","20","2025","1,2,3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Wingspan","266192","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109757744","7.8579","8.0096","2.4751","38","169729","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Wingspan: European Expansion","290448","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","122999082","7.9286","8.33111","2.4269","0","58726","thing","Wingspan: European Expansion","1","5","70","70","40","2019","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"World of Warcraft: The Adventure Game","29294","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129017869","5.7726","6.17106","2.5605","5002","4313","thing","World of Warcraft: The Adventure Game","2","4","120","120","90","2008","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"World of Warcraft: The Boardgame","17223","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129017836","6.29709","6.73932","3.5136","1828","10016","thing","World of Warcraft: The Boardgame","2","6","180","180","180","2005","2,4,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"World of Warcraft: The Boardgame – The Burning Crusade","29307","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129017852","6.06236","7.4428","3.6538","0","3239","thing","World of Warcraft: The Boardgame – The Burning Crusade","2","6","360","360","360","2007","2,3,4,5,6","2,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"XCOM: The Board Game","163602","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109719924","6.64317","6.98196","2.911","1000","14720","thing","XCOM: The Board Game","1","4","120","120","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Yomi: Complete First Edition","417411","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","122998995","0","7.16667","0","0","26","thing","Yomi: Complete First Edition","2","2","30","30","30","2011","","","","","","","","","","standalone","","","","",""
"Zombicide: Black Plague","176189","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","136859690","7.22132","7.60196","2.4747","280","29441","thing","Zombicide: Black Plague","1","6","180","180","60","2015","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Zoo Vadis","368061","8","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995630","6.74666","7.4885","2.1196","819","6956","thing","Zoo Vadis","3","7","40","40","20","2023","4,5,6,7","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"エスペライゼーション (Gibberers: The Word Game of Language Invention and Civilization Development)","380109","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","132256075","5.71447","8.07524","2.6667","5830","482","thing","エスペライゼーション (Gibberers: The Word Game of Language Invention and Civilization Development)","3","5","180","180","60","2024","2,3,4,5","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
